Dates,HSBA LN Equity,BARC LN Equity,JPM UN Equity,BAC UN Equity
2020-03-17,4.946,0.878,77.55811,18.18182
2020-03-18,4.91,0.832,72.07664,17.86236
2020-03-19,5,0.837,73.82086,18.34704
2020-03-20,5,0.89,71.8156,16.91752
2020-03-23,4.9,0.847,68.3828,15.6442
2020-03-24,5.15,0.96,75.43291,17.93909
2020-03-25,5.099,1.058,77.68462,17.86924
2020-03-26,4.979,1.08,80.7838,18.70575
2020-03-27,4.666,0.974,73.41497,17.40111
2020-03-30,4.627,0.94,75.48236,17.79285
2020-03-31,4.543,0.941,72.61655,17.12373
2020-04-01,4.11,0.829,68.0597,15.94998
2020-04-02,3.978,0.816,70.76662,16.63432
2020-04-03,3.972,0.802,68.74131,16.38178
2020-04-06,4.147,0.866,72.69625,17.38176
2020-04-07,4.196,0.948,73.46409,17.94456
2020-04-08,4.204,0.927,76.01161,18.90214
2020-04-09,4.289,0.976,82.54478,19.96948
2020-04-10,4.289,0.976,82.54478,19.96948
2020-04-13,4.289,0.976,78.43278,19.10696
2020-04-14,4.275,0.936,75.75157,18.82288
2020-04-15,4.081,0.87,72.40609,17.69679
2020-04-16,4.056,0.871,70.20661,17.22003
2020-04-17,4.144,0.907,76.15618,18.62698
2020-04-20,4.18,0.91,73.57401,18.05054
2020-04-21,3.993,0.865,72.57539,17.63651
2020-04-22,4.056,0.877,72.57514,17.70918
2020-04-23,4.103,0.906,72.31616,17.69274
2020-04-24,4.021,0.886,73.56257,17.98719
2020-04-27,4.163,0.911,76.29415,18.92437
2020-04-28,4.206,0.978,76.67364,19.22272
2020-04-29,4.285,1.102,78.69723,19.92762
2020-04-30,4.1,1.059,76.10873,19.11461
2020-05-01,4.024,1.027,74.5225,18.44482
2020-05-04,3.956,0.997,74.10923,18.44285
2020-05-05,4.012,1.034,73.9431,18.21251
2020-05-06,4.02,1.009,73.0458,18.08545
2020-05-07,4.127,1.054,73.81839,18.48495
2020-05-08,4.127,1.054,74.62566,18.9744
2020-05-11,4.11,1.026,72.88561,18.29229
2020-05-12,4.105,1.02,70.80215,17.79206
2020-05-13,4.046,0.98,68.72495,17.06878
2020-05-14,3.985,0.971,71.75535,17.79946
2020-05-15,3.997,0.975,70.88044,17.69123
2020-05-18,4.147,1.052,74.26108,18.82594
2020-05-19,4.115,1.047,72.38958,18.13209
2020-05-20,4.128,1.067,74.68313,18.73416
2020-05-21,3.989,1.039,73.72854,18.72445
2020-05-22,3.79,1.031,73.52289,18.62109
2020-05-25,3.79,1.031,73.52289,18.62109
2020-05-26,3.876,1.108,77.68139,19.68383
2020-05-27,3.966,1.198,82.82539,21.22722
2020-05-28,3.844,1.226,80.93694,20.14913
2020-05-29,3.701,1.152,79.00463,19.58269
2020-06-01,3.804,1.208,79.10148,19.74328
2020-06-02,3.848,1.195,78.89784,19.81019
2020-06-03,4.018,1.253,82.80654,20.64009
2020-06-04,3.994,1.235,84.46949,21.25228
2020-06-05,4.23,1.314,87.72082,22.16877
2020-06-08,4.208,1.318,89.34478,22.47598
2020-06-09,4.055,1.253,86.73886,22.14375
2020-06-10,4.006,1.24,83.14519,20.85293
2020-06-11,3.763,1.15,76.99192,18.95295
2020-06-12,3.804,1.171,79.87044,19.81766
2020-06-15,3.762,1.161,80.58739,20.01751
2020-06-16,3.838,1.227,81.04503,20.48757
2020-06-17,3.821,1.194,79.31749,19.93303
2020-06-18,3.816,1.186,79.71318,20.17403
2020-06-19,3.914,1.166,79.08312,20.41559
2020-06-22,3.814,1.153,77.62356,19.75289
2020-06-23,3.876,1.169,78.24385,19.80665
2020-06-24,3.808,1.119,76.04434,19.12757
2020-06-25,3.844,1.126,78.87279,19.90338
2020-06-26,3.803,1.11,74.9838,18.74798
2020-06-29,3.848,1.145,75.72057,19.04413
2020-06-30,3.786,1.144,75.98352,19.18572
2020-07-01,3.723,1.135,74.72158,18.63633
2020-07-02,3.891,1.179,74.36,18.69031
2020-07-03,3.835,1.157,74.36,18.69031
2020-07-06,4.087,1.173,76.09131,18.95074
2020-07-07,3.952,1.15,73.50318,18.32006
2020-07-08,3.836,1.144,74.02999,18.32897
2020-07-09,3.733,1.12,72.38699,18.0571
2020-07-10,3.778,1.178,76.24139,19.02273
2020-07-13,3.808,1.196,77.40785,19.17558
2020-07-14,3.838,1.194,78.26745,19.23813
2020-07-15,3.861,1.203,79.23884,19.54553
2020-07-16,3.856,1.186,79.44868,19.01017
2020-07-17,3.796,1.164,78.17154,18.49168
2020-07-20,3.743,1.162,76.91092,18.63884
2020-07-21,3.81,1.166,78.01146,19.16346
2020-07-22,3.705,1.174,77.48292,19.08613
2020-07-23,3.671,1.165,77.66183,19.25461
2020-07-24,3.649,1.136,76.87133,19.04576
2020-07-27,3.531,1.11,75.27383,18.75243
2020-07-28,3.533,1.119,75.16219,18.81372
2020-07-29,3.623,1.05,76.83058,19.47742
2020-07-30,3.471,1.008,74.2879,19.01991
2020-07-31,3.422,1.006,73.77662,18.99382
2020-08-03,3.323,1.038,73.59473,19.13769
2020-08-04,3.367,1.053,73.13433,19.14275
2020-08-05,3.335,1.073,74.05348,19.34181
2020-08-06,3.25,1.058,73.89619,19.35557
2020-08-07,3.256,1.046,76.19997,20.01994
2020-08-10,3.31,1.066,76.9125,20.29805
2020-08-11,3.46,1.118,79.31245,20.56532
2020-08-12,3.571,1.115,78.91751,20.49218
2020-08-13,3.438,1.081,78.26453,20.14526
2020-08-14,3.413,1.092,78.16961,20.20456
